StatusMonth,OccGroup,all189,no189
2025-06,3613 Veterinary Nurses,0,1
2025-06,2343 Environmental Scientists,5,4
2025-06,3132 Telecommunications Technical Specialists,0,3
2025-06,3312 Carpenters and Joiners,18,41
2025-06,1334 Manufacturers,0,9
2025-06,2725 Social Workers,11,21
2025-06,1413 Hotel and Motel Managers,0,22
2025-06,2249 Other Information and Organisation Professionals,0,11
2025-06,3322 Painting Trades Workers,6,25
2025-06,3423 Electronics Trades Workers,4,6
2025-06,2493 Teachers of English to Speakers of Other Languages,0,5
2025-06,2124 Journalists and Other Writers,0,3
2025-06,1212 Crop Farmers,0,5
2025-06,3941 Cabinetmakers,0,4
2025-06,2243 Economists,1,2
2025-06,3311 Bricklayers and Stonemasons,3,8
2025-06,"2726 Welfare, Recreation and Community Arts Workers",0,19
2025-06,"2323 Fashion, Industrial and Jewellery Designers",0,1
2025-06,1336 Supply and Distribution Managers,0,1
2025-06,1342 Health and Welfare Services Managers,0,13
2025-06,1324 Policy and Planning Managers,0,12
2025-06,3231 Aircraft Maintenance Engineers,0,4
2025-06,1492 Call or Contact Centre and Customer Service Managers,0,2
2025-06,2539 Other Medical Practitioners,7,4
2025-06,1419 Other Accommodation and Hospitality Managers,0,1
2025-06,3111 Agricultural Technicians,0,8
2025-06,2724 Social Professionals,0,2
2025-06,4114 Enrolled and Mothercraft Nurses,0,47
2025-06,3411 Electricians,17,29
2025-06,2525 Physiotherapists,5,12
2025-06,2253 Public Relations Professionals,0,3
2025-06,2512 Medical Imaging Professionals,1,0
2025-06,3131 ICT Support Technicians,0,7
2025-06,"4523 Sports Coaches, Instructors and Officials",0,1
2025-06,3911 Hairdressers,0,3
2025-06,2513 Occupational and Environmental Health Professionals,0,7
2025-06,2527 Speech Professionals and Audiologists,4,4
2025-06,"2242 Archivists, Curators and Records Managers",0,2
2025-06,3129 Other Building and Engineering Technicians,0,8
2025-06,2492 Private Tutors and Teachers,0,2
2025-06,2524 Occupational Therapists,12,4
2025-06,2519 Other Health Diagnostic and Promotion Professionals,0,3
2025-06,3421 Airconditioning and Refrigeration Mechanics,3,6
2025-06,2346 Medical Laboratory Scientists,0,1
2025-06,2415 Special Education Teachers,0,1
2025-06,1493 Conference and Event Organisers,0,15
2025-06,2723 Psychologists,4,8
2025-06,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2025-06,4111 Ambulance Officers and Paramedics,0,1
2025-06,2312 Marine Transport Professionals,0,8
2025-06,3341 Plumbers,3,13
2025-06,2511 Dietitians,0,3
2025-06,"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",0,3
2025-06,2232 ICT Trainers,0,2
2025-06,1214 Mixed Crop and Livestock Farmers,0,3
2025-06,3424 Telecommunications Trades Workers,0,2
2025-06,2721 Counsellors,0,9
2025-06,4113 Diversional Therapists,0,7
2025-06,3332 Plasterers,1,1
2025-06,3334 Wall and Floor Tilers,2,8
2025-06,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,1
2025-06,2522 Complementary Health Therapists,0,1
2025-06,2523 Dental Practitioners,0,10
2025-06,3211 Automotive Electricians,0,2
2025-06,2532 Anaesthetists,0,1
2025-06,2514 Optometrists and Orthoptists,0,1
2025-06,3422 Electrical Distribution Trades Workers,0,2
2025-06,4518 Other Personal Service Workers,0,1
2025-10,2613 Software and Applications Programmers,35,33
2025-10,3212 Motor Mechanics,2,3
2025-10,2332 Civil Engineering Professionals,14,13
2025-10,2411 Early Childhood (Pre-primary School) Teachers,8,8
2025-10,2611 ICT Business and Systems Analysts,17,18
2025-10,2211 Accountants,9,13
2025-10,"2621 Database and Systems Administrators, and ICT Security Specialists",3,7
2025-10,4117 Welfare Support Workers,0,6
2025-10,"2212 Auditors, Company Secretaries and Corporate Treasurers",3,3
2025-10,2345 Life Scientists,7,0
2025-10,"2335 Industrial, Mechanical and Production Engineers",8,11
2025-10,2339 Other Engineering Professionals,8,12
2025-10,2341 Agricultural and Forestry Scientists,1,0
2025-10,2544 Registered Nurses,11,20
2025-10,3513 Chefs,3,4
2025-10,2334 Electronics Engineers,1,3
2025-10,3232 Metal Fitters and Machinists,1,1
2025-10,3114 Science Technicians,0,3
2025-10,"2324 Graphic and Web Designers, and Illustrators",0,3
2025-10,2631 Computer Network Professionals,1,3
2025-10,4116 Massage Therapists,0,2
2025-10,"2342 Chemists, and Food and Wine Scientists",0,3
2025-10,2713 Solicitors,2,0
2025-10,1322 Finance Managers,0,1
2025-10,"3121 Architectural, Building and Surveying Technicians",0,21
2025-10,2331 Chemical and Materials Engineers,1,1
2025-10,2251 Advertising and Marketing Professionals,0,12
2025-10,2231 Human Resource Professionals,0,1
2025-10,3514 Cooks,0,1
2025-10,2333 Electrical Engineers,4,4
2025-10,2223 Financial Investment Advisers and Managers,0,2
2025-10,2321 Architects and Landscape Architects,1,1
2025-10,3112 Medical Technicians,0,3
2025-10,2531 General Practitioners and Resident Medical officers,2,6
2025-10,3113 Primary Products Inspectors,0,1
2025-10,1335 Production Managers,0,3
2025-10,2515 Pharmacists,0,9
2025-10,1351 ICT Managers,0,3
2025-10,2247 Management and Organisation Analysts,2,1
2025-10,2347 Veterinarians,1,0
2025-10,2414 Secondary School Teachers,3,2
2025-10,2412 Primary School Teachers,0,8
2025-10,"2241 Actuaries, Mathematicians and Statisticians",1,1
2025-10,2421 University Lecturers and Tutors,1,2
2025-10,1411 Cafe and Restaurant Managers,0,5
2025-10,2633 Telecommunications Engineering Professionals,2,2
2025-10,3511 Bakers and Pastrycooks,0,1
2025-10,1332 Engineering Managers,0,1
2025-10,"1499 Other Hospitality, Retail and Service Managers",0,1
2025-10,3122 Civil Engineering Draftspersons and Technicians,0,3
2025-10,1399 Other Specialist Managers,0,2
2025-10,"5111 Contract, Program and Project Administrators",0,1
2025-10,2322 Cartographers and Surveyors,0,2
2025-10,1325 Research and Development Managers,0,1
2025-10,2336 Mining Engineers,0,1
2025-10,2612 Multimedia Specialists and Web Developers,1,4
2025-10,3223 Structural Steel and Welding Trades Workers,3,10
2025-10,2349 Other Natural and Physical Science Professionals,1,0
2025-10,2326 Urban and Regional Planners,0,2
2025-10,2632 ICT Support and Test Engineers,0,7
2025-10,1331 Construction Managers,7,19
2025-10,2343 Environmental Scientists,0,1
2025-10,3132 Telecommunications Technical Specialists,1,1
2025-10,3312 Carpenters and Joiners,5,11
2025-10,1413 Hotel and Motel Managers,0,1
2025-10,2249 Other Information and Organisation Professionals,0,9
2025-10,3322 Painting Trades Workers,0,1
2025-10,2493 Teachers of English to Speakers of Other Languages,0,1
2025-10,3941 Cabinetmakers,0,2
2025-10,"2726 Welfare, Recreation and Community Arts Workers",0,1
2025-10,"2323 Fashion, Industrial and Jewellery Designers",0,1
2025-10,1342 Health and Welfare Services Managers,0,3
2025-10,2539 Other Medical Practitioners,0,1
2025-10,3111 Agricultural Technicians,0,2
2025-10,2724 Social Professionals,0,1
2025-10,4114 Enrolled and Mothercraft Nurses,0,12
2025-10,3411 Electricians,6,4
2025-10,2525 Physiotherapists,0,1
2025-10,2253 Public Relations Professionals,0,1
2025-10,2513 Occupational and Environmental Health Professionals,0,5
2025-10,2527 Speech Professionals and Audiologists,2,1
2025-10,"2242 Archivists, Curators and Records Managers",0,1
2025-10,2519 Other Health Diagnostic and Promotion Professionals,0,1
2025-10,3421 Airconditioning and Refrigeration Mechanics,0,1
2025-10,2346 Medical Laboratory Scientists,0,2
2025-10,2415 Special Education Teachers,0,1
2025-10,2723 Psychologists,1,2
2025-10,3341 Plumbers,0,2
2025-10,2721 Counsellors,0,1
2025-10,4113 Diversional Therapists,0,4
2025-10,2522 Complementary Health Therapists,0,1
2025-10,2523 Dental Practitioners,0,4
2025-10,3211 Automotive Electricians,2,1
2026-05,2613 Software and Applications Programmers,42,46
2026-05,3212 Motor Mechanics,5,27
2026-05,2332 Civil Engineering Professionals,41,64
2026-05,2411 Early Childhood (Pre-primary School) Teachers,62,116
2026-05,2611 ICT Business and Systems Analysts,13,37
2026-05,2211 Accountants,8,41
2026-05,2344 Geologists Geophysicists and Hydrogeologists,0,12
2026-05,"2621 Database and Systems Administrators, and ICT Security Specialists",8,22
2026-05,4117 Welfare Support Workers,0,47
2026-05,"2212 Auditors, Company Secretaries and Corporate Treasurers",4,5
2026-05,2345 Life Scientists,8,10
2026-05,"2335 Industrial, Mechanical and Production Engineers",19,33
2026-05,2339 Other Engineering Professionals,10,41
2026-05,2341 Agricultural and Forestry Scientists,5,7
2026-05,2544 Registered Nurses,141,144
2026-05,3513 Chefs,21,87
2026-05,2334 Electronics Engineers,4,13
2026-05,3232 Metal Fitters and Machinists,6,12
2026-05,3114 Science Technicians,0,9
2026-05,2631 Computer Network Professionals,4,21
2026-05,4116 Massage Therapists,0,2
2026-05,"2342 Chemists, and Food and Wine Scientists",4,1
2026-05,2713 Solicitors,1,4
2026-05,1311 Advertising and Sales Managers,0,1
2026-05,1322 Finance Managers,0,1
2026-05,"3121 Architectural, Building and Surveying Technicians",0,40
2026-05,2331 Chemical and Materials Engineers,1,8
2026-05,2251 Advertising and Marketing Professionals,0,14
2026-05,2254 Technical Sales Representatives,0,1
2026-05,3123 Electrical Engineering Draftspersons and Technicians,3,10
2026-05,2231 Human Resource Professionals,0,5
2026-05,3514 Cooks,0,39
2026-05,2333 Electrical Engineers,6,19
2026-05,2223 Financial Investment Advisers and Managers,0,2
2026-05,2321 Architects and Landscape Architects,11,14
2026-05,3112 Medical Technicians,0,36
2026-05,2531 General Practitioners and Resident Medical officers,23,30
2026-05,3113 Primary Products Inspectors,0,2
2026-05,1335 Production Managers,0,5
2026-05,2515 Pharmacists,0,49
2026-05,1351 ICT Managers,0,5
2026-05,2247 Management and Organisation Analysts,3,4
2026-05,2347 Veterinarians,2,3
2026-05,2414 Secondary School Teachers,24,32
2026-05,1341 Child Care Centre Managers,0,1
2026-05,3125 Mechanical Engineering Draftspersons and Technicians,0,7
2026-05,6112 Insurance Agents,0,4
2026-05,2412 Primary School Teachers,0,44
2026-05,"2241 Actuaries, Mathematicians and Statisticians",4,5
2026-05,3331 Glaziers,1,1
2026-05,2421 University Lecturers and Tutors,2,2
2026-05,1411 Cafe and Restaurant Managers,0,58
2026-05,2633 Telecommunications Engineering Professionals,2,2
2026-05,3511 Bakers and Pastrycooks,0,3
2026-05,1332 Engineering Managers,2,3
2026-05,"1499 Other Hospitality, Retail and Service Managers",0,1
2026-05,3122 Civil Engineering Draftspersons and Technicians,32,54
2026-05,1399 Other Specialist Managers,1,5
2026-05,"5111 Contract, Program and Project Administrators",0,24
2026-05,2322 Cartographers and Surveyors,4,15
2026-05,2245 Land Economists and Valuers,1,2
2026-05,2336 Mining Engineers,3,11
2026-05,2612 Multimedia Specialists and Web Developers,0,4
2026-05,3223 Structural Steel and Welding Trades Workers,13,40
2026-05,2349 Other Natural and Physical Science Professionals,0,2
2026-05,2326 Urban and Regional Planners,0,15
2026-05,2632 ICT Support and Test Engineers,0,17
2026-05,2325 Interior Designers,0,1
2026-05,1331 Construction Managers,26,46
2026-05,3613 Veterinary Nurses,0,9
2026-05,2343 Environmental Scientists,5,8
2026-05,3132 Telecommunications Technical Specialists,2,5
2026-05,3312 Carpenters and Joiners,62,129
2026-05,1334 Manufacturers,0,1
2026-05,2725 Social Workers,8,17
2026-05,1413 Hotel and Motel Managers,0,19
2026-05,2249 Other Information and Organisation Professionals,0,17
2026-05,3322 Painting Trades Workers,35,96
2026-05,3423 Electronics Trades Workers,1,1
2026-05,2493 Teachers of English to Speakers of Other Languages,0,7
2026-05,2124 Journalists and Other Writers,0,3
2026-05,1212 Crop Farmers,0,7
2026-05,3941 Cabinetmakers,3,4
2026-05,2243 Economists,2,1
2026-05,3311 Bricklayers and Stonemasons,5,32
2026-05,"2726 Welfare, Recreation and Community Arts Workers",0,6
2026-05,1342 Health and Welfare Services Managers,0,27
2026-05,1324 Policy and Planning Managers,0,3
2026-05,3231 Aircraft Maintenance Engineers,0,4
2026-05,2221 Financial Brokers,0,1
2026-05,2539 Other Medical Practitioners,17,7
2026-05,3111 Agricultural Technicians,0,20
2026-05,4114 Enrolled and Mothercraft Nurses,0,55
2026-05,3411 Electricians,4,18
2026-05,2525 Physiotherapists,13,10
2026-05,1494 Transport Services Managers,0,2
2026-05,2512 Medical Imaging Professionals,3,4
2026-05,3131 ICT Support Technicians,0,10
2026-05,3911 Hairdressers,0,2
2026-05,3222 Sheetmetal Trades Workers,1,3
2026-05,2513 Occupational and Environmental Health Professionals,0,7
2026-05,2527 Speech Professionals and Audiologists,9,5
2026-05,"2242 Archivists, Curators and Records Managers",0,1
2026-05,3129 Other Building and Engineering Technicians,0,15
2026-05,2492 Private Tutors and Teachers,0,1
2026-05,2524 Occupational Therapists,14,11
2026-05,2519 Other Health Diagnostic and Promotion Professionals,0,11
2026-05,3421 Airconditioning and Refrigeration Mechanics,0,3
2026-05,4517 Travel Attendants,0,1
2026-05,2346 Medical Laboratory Scientists,3,1
2026-05,2415 Special Education Teachers,2,1
2026-05,1493 Conference and Event Organisers,0,1
2026-05,2712 Judicial and Other Legal Professionals,0,3
2026-05,2723 Psychologists,9,11
2026-05,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2026-05,4111 Ambulance Officers and Paramedics,0,2
2026-05,"4112 Dental Hygienists, Technicians and Therapists",0,3
2026-05,3341 Plumbers,4,14
2026-05,2511 Dietitians,0,2
2026-05,2244 Intelligence and Policy Analysts,0,2
2026-05,1214 Mixed Crop and Livestock Farmers,0,1
2026-05,3424 Telecommunications Trades Workers,0,2
2026-05,2721 Counsellors,0,18
2026-05,3991 Boat Builders and Shipwrights,0,1
2026-05,4113 Diversional Therapists,0,7
2026-05,2533 Internal Medicine Specialists,4,0
2026-05,3332 Plasterers,0,1
2026-05,3334 Wall and Floor Tilers,5,12
2026-05,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,1
2026-05,2522 Complementary Health Therapists,0,2
2026-05,2523 Dental Practitioners,0,10
2026-05,1343 School Principals,0,1
2026-05,3211 Automotive Electricians,3,10
2026-05,1211 Aquaculture Farmers,0,1
2026-05,2514 Optometrists and Orthoptists,0,1
2026-05,3422 Electrical Distribution Trades Workers,0,1
2026-05,2526 Podiatrists,1,1
2026-05,3333 Roof Tilers,0,1
2026-05,1412 Caravan Park and Camping Ground Managers,0,2
2026-04,2613 Software and Applications Programmers,44,78
2026-04,3212 Motor Mechanics,6,16
2026-04,2332 Civil Engineering Professionals,50,43
2026-04,2411 Early Childhood (Pre-primary School) Teachers,63,104
2026-04,2611 ICT Business and Systems Analysts,21,65
2026-04,2211 Accountants,14,55
2026-04,2344 Geologists Geophysicists and Hydrogeologists,0,3
2026-04,"2621 Database and Systems Administrators, and ICT Security Specialists",5,13
2026-04,4117 Welfare Support Workers,0,61
2026-04,"2212 Auditors, Company Secretaries and Corporate Treasurers",3,8
2026-04,2345 Life Scientists,4,5
2026-04,"2335 Industrial, Mechanical and Production Engineers",11,25
2026-04,2339 Other Engineering Professionals,17,33
2026-04,2341 Agricultural and Forestry Scientists,1,6
2026-04,2544 Registered Nurses,144,152
2026-04,3513 Chefs,24,106
2026-04,2334 Electronics Engineers,4,6
2026-04,3232 Metal Fitters and Machinists,2,15
2026-04,3114 Science Technicians,0,4
2026-04,"2324 Graphic and Web Designers, and Illustrators",0,4
2026-04,2631 Computer Network Professionals,5,14
2026-04,4116 Massage Therapists,0,3
2026-04,"2342 Chemists, and Food and Wine Scientists",4,6
2026-04,2713 Solicitors,4,2
2026-04,1311 Advertising and Sales Managers,0,3
2026-04,1322 Finance Managers,0,4
2026-04,"3121 Architectural, Building and Surveying Technicians",0,43
2026-04,2331 Chemical and Materials Engineers,5,2
2026-04,2251 Advertising and Marketing Professionals,0,26
2026-04,2254 Technical Sales Representatives,0,1
2026-04,3123 Electrical Engineering Draftspersons and Technicians,1,2
2026-04,2231 Human Resource Professionals,0,5
2026-04,6392 Retail and Wool Buyers,0,1
2026-04,3514 Cooks,0,33
2026-04,2333 Electrical Engineers,13,10
2026-04,2223 Financial Investment Advisers and Managers,0,7
2026-04,2321 Architects and Landscape Architects,10,17
2026-04,3112 Medical Technicians,0,20
2026-04,2531 General Practitioners and Resident Medical officers,27,31
2026-04,1323 Human Resource Managers,0,1
2026-04,3113 Primary Products Inspectors,0,3
2026-04,1335 Production Managers,0,3
2026-04,2515 Pharmacists,0,30
2026-04,1351 ICT Managers,0,2
2026-04,2247 Management and Organisation Analysts,2,1
2026-04,2347 Veterinarians,10,4
2026-04,2414 Secondary School Teachers,23,19
2026-04,1341 Child Care Centre Managers,0,1
2026-04,3125 Mechanical Engineering Draftspersons and Technicians,0,6
2026-04,2412 Primary School Teachers,0,20
2026-04,"2241 Actuaries, Mathematicians and Statisticians",5,4
2026-04,3331 Glaziers,0,1
2026-04,2421 University Lecturers and Tutors,5,8
2026-04,1411 Cafe and Restaurant Managers,0,23
2026-04,2633 Telecommunications Engineering Professionals,0,1
2026-04,3511 Bakers and Pastrycooks,0,3
2026-04,1332 Engineering Managers,0,4
2026-04,3122 Civil Engineering Draftspersons and Technicians,30,46
2026-04,1399 Other Specialist Managers,0,2
2026-04,"5111 Contract, Program and Project Administrators",0,18
2026-04,2322 Cartographers and Surveyors,5,9
2026-04,1325 Research and Development Managers,0,4
2026-04,2245 Land Economists and Valuers,4,1
2026-04,2252 ICT Sales Professionals,0,1
2026-04,2336 Mining Engineers,1,4
2026-04,2612 Multimedia Specialists and Web Developers,1,5
2026-04,3223 Structural Steel and Welding Trades Workers,8,36
2026-04,2349 Other Natural and Physical Science Professionals,2,2
2026-04,2326 Urban and Regional Planners,0,18
2026-04,2632 ICT Support and Test Engineers,0,21
2026-04,2325 Interior Designers,0,1
2026-04,1331 Construction Managers,16,42
2026-04,3613 Veterinary Nurses,0,8
2026-04,2343 Environmental Scientists,2,4
2026-04,3132 Telecommunications Technical Specialists,1,8
2026-04,3312 Carpenters and Joiners,58,135
2026-04,1334 Manufacturers,0,4
2026-04,2725 Social Workers,21,30
2026-04,1413 Hotel and Motel Managers,0,10
2026-04,2249 Other Information and Organisation Professionals,0,17
2026-04,3322 Painting Trades Workers,30,88
2026-04,3423 Electronics Trades Workers,3,0
2026-04,2521 Chiropractors and Osteopaths,2,0
2026-04,2493 Teachers of English to Speakers of Other Languages,0,3
2026-04,2124 Journalists and Other Writers,0,2
2026-04,3941 Cabinetmakers,4,7
2026-04,2243 Economists,0,1
2026-04,3311 Bricklayers and Stonemasons,2,16
2026-04,"2726 Welfare, Recreation and Community Arts Workers",0,10
2026-04,"2323 Fashion, Industrial and Jewellery Designers",0,1
2026-04,1336 Supply and Distribution Managers,0,2
2026-04,1342 Health and Welfare Services Managers,0,3
2026-04,3231 Aircraft Maintenance Engineers,0,6
2026-04,1492 Call or Contact Centre and Customer Service Managers,0,1
2026-04,2539 Other Medical Practitioners,20,5
2026-04,1419 Other Accommodation and Hospitality Managers,0,1
2026-04,3111 Agricultural Technicians,0,2
2026-04,2724 Social Professionals,0,1
2026-04,4114 Enrolled and Mothercraft Nurses,0,65
2026-04,3411 Electricians,12,18
2026-04,2525 Physiotherapists,9,6
2026-04,2253 Public Relations Professionals,0,1
2026-04,2512 Medical Imaging Professionals,8,9
2026-04,3131 ICT Support Technicians,0,4
2026-04,3911 Hairdressers,0,1
2026-04,2513 Occupational and Environmental Health Professionals,0,6
2026-04,2527 Speech Professionals and Audiologists,15,10
2026-04,3129 Other Building and Engineering Technicians,0,10
2026-04,2524 Occupational Therapists,10,11
2026-04,2519 Other Health Diagnostic and Promotion Professionals,0,10
2026-04,3421 Airconditioning and Refrigeration Mechanics,0,1
2026-04,2346 Medical Laboratory Scientists,0,4
2026-04,2415 Special Education Teachers,1,1
2026-04,1493 Conference and Event Organisers,0,4
2026-04,2712 Judicial and Other Legal Professionals,0,2
2026-04,2222 Financial Dealers,0,1
2026-04,2723 Psychologists,6,12
2026-04,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2026-04,3126 Safety Inspectors,0,1
2026-04,4111 Ambulance Officers and Paramedics,0,1
2026-04,2541 Midwives,3,0
2026-04,3341 Plumbers,1,12
2026-04,2511 Dietitians,0,7
2026-04,2721 Counsellors,0,16
2026-04,"1491 Amusement, Fitness and Sports Centre Managers",0,1
2026-04,3991 Boat Builders and Shipwrights,0,1
2026-04,4113 Diversional Therapists,0,3
2026-04,2533 Internal Medicine Specialists,0,1
2026-04,3332 Plasterers,0,2
2026-04,3334 Wall and Floor Tilers,3,12
2026-04,2522 Complementary Health Therapists,0,4
2026-04,2523 Dental Practitioners,0,1
2026-04,1343 School Principals,0,1
2026-04,3211 Automotive Electricians,0,2
2026-04,2534 Psychiatrists,1,0
2026-04,3333 Roof Tilers,0,2
2026-04,3321 Floor Finishers,0,2
2026-03,2613 Software and Applications Programmers,55,78
2026-03,3212 Motor Mechanics,16,18
2026-03,2332 Civil Engineering Professionals,29,56
2026-03,2411 Early Childhood (Pre-primary School) Teachers,25,83
2026-03,2611 ICT Business and Systems Analysts,31,51
2026-03,2211 Accountants,10,66
2026-03,2344 Geologists Geophysicists and Hydrogeologists,0,7
2026-03,"2621 Database and Systems Administrators, and ICT Security Specialists",15,30
2026-03,4117 Welfare Support Workers,0,39
2026-03,"2212 Auditors, Company Secretaries and Corporate Treasurers",4,12
2026-03,2345 Life Scientists,3,2
2026-03,"2335 Industrial, Mechanical and Production Engineers",27,32
2026-03,2339 Other Engineering Professionals,11,44
2026-03,2341 Agricultural and Forestry Scientists,1,5
2026-03,2544 Registered Nurses,120,158
2026-03,3513 Chefs,25,122
2026-03,2334 Electronics Engineers,4,14
2026-03,3232 Metal Fitters and Machinists,7,12
2026-03,3114 Science Technicians,0,4
2026-03,3622 Gardeners,0,1
2026-03,"2324 Graphic and Web Designers, and Illustrators",0,6
2026-03,2631 Computer Network Professionals,5,15
2026-03,4116 Massage Therapists,0,3
2026-03,"2342 Chemists, and Food and Wine Scientists",2,6
2026-03,2713 Solicitors,1,2
2026-03,1311 Advertising and Sales Managers,0,1
2026-03,"3121 Architectural, Building and Surveying Technicians",0,37
2026-03,2331 Chemical and Materials Engineers,2,5
2026-03,2251 Advertising and Marketing Professionals,0,28
2026-03,3123 Electrical Engineering Draftspersons and Technicians,0,2
2026-03,2231 Human Resource Professionals,0,9
2026-03,6392 Retail and Wool Buyers,0,1
2026-03,3514 Cooks,0,15
2026-03,2333 Electrical Engineers,14,20
2026-03,2223 Financial Investment Advisers and Managers,0,14
2026-03,2321 Architects and Landscape Architects,11,13
2026-03,3112 Medical Technicians,0,12
2026-03,2531 General Practitioners and Resident Medical officers,31,34
2026-03,3113 Primary Products Inspectors,0,1
2026-03,1335 Production Managers,0,4
2026-03,2515 Pharmacists,0,39
2026-03,1351 ICT Managers,0,5
2026-03,2247 Management and Organisation Analysts,1,4
2026-03,2347 Veterinarians,4,1
2026-03,2414 Secondary School Teachers,31,31
2026-03,1341 Child Care Centre Managers,1,0
2026-03,3125 Mechanical Engineering Draftspersons and Technicians,0,1
2026-03,6112 Insurance Agents,0,1
2026-03,2412 Primary School Teachers,0,23
2026-03,"2241 Actuaries, Mathematicians and Statisticians",2,5
2026-03,2421 University Lecturers and Tutors,13,11
2026-03,1411 Cafe and Restaurant Managers,0,46
2026-03,2633 Telecommunications Engineering Professionals,3,6
2026-03,3511 Bakers and Pastrycooks,0,4
2026-03,1332 Engineering Managers,1,4
2026-03,"1499 Other Hospitality, Retail and Service Managers",0,1
2026-03,3122 Civil Engineering Draftspersons and Technicians,17,34
2026-03,1399 Other Specialist Managers,0,2
2026-03,"5111 Contract, Program and Project Administrators",0,14
2026-03,2322 Cartographers and Surveyors,4,4
2026-03,1325 Research and Development Managers,0,1
2026-03,2245 Land Economists and Valuers,1,1
2026-03,2252 ICT Sales Professionals,0,2
2026-03,2336 Mining Engineers,1,6
2026-03,2612 Multimedia Specialists and Web Developers,2,3
2026-03,3223 Structural Steel and Welding Trades Workers,6,14
2026-03,2349 Other Natural and Physical Science Professionals,0,3
2026-03,1321 Corporate Services Managers,0,1
2026-03,2326 Urban and Regional Planners,0,16
2026-03,2632 ICT Support and Test Engineers,0,32
2026-03,2325 Interior Designers,0,1
2026-03,1331 Construction Managers,18,43
2026-03,3613 Veterinary Nurses,0,1
2026-03,2343 Environmental Scientists,3,9
2026-03,3132 Telecommunications Technical Specialists,2,3
2026-03,3312 Carpenters and Joiners,61,130
2026-03,1334 Manufacturers,0,2
2026-03,2725 Social Workers,19,9
2026-03,1413 Hotel and Motel Managers,0,12
2026-03,2249 Other Information and Organisation Professionals,0,23
2026-03,3322 Painting Trades Workers,61,151
2026-03,3423 Electronics Trades Workers,3,1
2026-03,2521 Chiropractors and Osteopaths,0,1
2026-03,2493 Teachers of English to Speakers of Other Languages,0,3
2026-03,2124 Journalists and Other Writers,0,3
2026-03,1212 Crop Farmers,0,4
2026-03,3941 Cabinetmakers,5,7
2026-03,3311 Bricklayers and Stonemasons,6,22
2026-03,"2726 Welfare, Recreation and Community Arts Workers",0,10
2026-03,"2323 Fashion, Industrial and Jewellery Designers",0,1
2026-03,1336 Supply and Distribution Managers,0,3
2026-03,1342 Health and Welfare Services Managers,1,4
2026-03,3231 Aircraft Maintenance Engineers,0,6
2026-03,1492 Call or Contact Centre and Customer Service Managers,0,3
2026-03,2221 Financial Brokers,0,5
2026-03,2539 Other Medical Practitioners,13,3
2026-03,3111 Agricultural Technicians,0,3
2026-03,2724 Social Professionals,0,7
2026-03,4114 Enrolled and Mothercraft Nurses,0,86
2026-03,3411 Electricians,19,21
2026-03,2525 Physiotherapists,15,6
2026-03,2512 Medical Imaging Professionals,8,4
2026-03,3131 ICT Support Technicians,0,2
2026-03,3911 Hairdressers,0,2
2026-03,3222 Sheetmetal Trades Workers,0,1
2026-03,2513 Occupational and Environmental Health Professionals,0,3
2026-03,2527 Speech Professionals and Audiologists,7,9
2026-03,1213 Livestock Farmers,0,1
2026-03,"2242 Archivists, Curators and Records Managers",0,1
2026-03,3129 Other Building and Engineering Technicians,0,16
2026-03,2492 Private Tutors and Teachers,0,1
2026-03,2524 Occupational Therapists,15,5
2026-03,2519 Other Health Diagnostic and Promotion Professionals,1,2
2026-03,3421 Airconditioning and Refrigeration Mechanics,1,4
2026-03,4517 Travel Attendants,0,1
2026-03,2346 Medical Laboratory Scientists,1,4
2026-03,2415 Special Education Teachers,4,3
2026-03,1493 Conference and Event Organisers,0,2
2026-03,2723 Psychologists,4,8
2026-03,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2026-03,4111 Ambulance Officers and Paramedics,0,3
2026-03,2113 Photographers,0,1
2026-03,2312 Marine Transport Professionals,0,1
2026-03,"4112 Dental Hygienists, Technicians and Therapists",0,1
2026-03,2541 Midwives,5,3
2026-03,3341 Plumbers,5,11
2026-03,2491 Education Advisers and Reviewers,0,1
2026-03,2511 Dietitians,0,4
2026-03,"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",0,1
2026-03,3424 Telecommunications Trades Workers,0,3
2026-03,2721 Counsellors,0,13
2026-03,4113 Diversional Therapists,0,2
2026-03,2533 Internal Medicine Specialists,3,2
2026-03,3332 Plasterers,3,3
2026-03,3334 Wall and Floor Tilers,11,22
2026-03,2523 Dental Practitioners,0,2
2026-03,2534 Psychiatrists,2,0
2026-03,2514 Optometrists and Orthoptists,2,2
2026-03,2535 Surgeons,1,1
2026-03,2526 Podiatrists,0,3
2026-03,3333 Roof Tilers,0,1
2026-03,3321 Floor Finishers,0,1
